Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Abyssal Kingshark	BP01	AbyssalKingshark1	Fish/Effect	Water	4	1700	600	H		Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.
Adreus, Keeper of Armageddon	BP01	AdreusKeeperofArmageddon1	Fiend/Xyz/Effect	Dark	*5	2600	1700	X		2 Level 5 monsters. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.
Airknight Parshath	BP01	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Alector, Sovereign of Birds	BP01	AlectorSovereignofBirds1	Winged Beast/Effect	Wind	6	2400	2000	H		If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up "Alector, Sovereign of Birds" on the field.
Amazoness Sage	BP01	AmazonessSage1	Warrior/Effect	Earth	4	1400	700	L		At the end of the Damage Step, if this card attacked and is still on the field: Target 1 Spell/Trap Card your opponent controls; destroy that target.
Amazoness Trainee	BP01	AmazonessTrainee1	Warrior/Effect	Earth	4	1500	1300	L		Monsters destroyed by battle with this card are returned to the bottom of the Deck instead of going to the Graveyard. If this card destroys an opponent's monster by battle: It gains 200 ATK.
Ambitious Gofer	BP01	AmbitiousGofer1	Fiend/Effect	Dark	6	2400	100	H		Once per turn: You can target up to 2 monsters your opponent controls; your opponent can reveal 1 monster in their hand to negate this card's effect, otherwise destroy those monsters.
Ancient Gear Golem	BP01	AncientGearGolem1	Machine/Effect	Earth	8	3000	3000	R		Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.
Ancient Gear Knight	BP01	AncientGearKnight1	Machine/Gemini/Effect	Earth	4	1800	500	H		This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect. *If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step.
Ante	BP01	Ante1	Normal Spell					D		Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)
Ape Fighter	BP01	ApeFighter1	Beast/Effect	Dark	4	1900	1200	H		If this card destroys an opponent's monster by battle: This card gains 300 ATK. If this card does not attack during your turn, the ATK gained from this effect returns to 0 during the End Phase of that turn.
Arcana Force XIV - Temperance	BP01	ArcanaForceXIVTemperance1	Fairy/Effect	Light	6	2400	2400	H		During damage calculation, in either player's turn: You can discard this card; you take no Battle Damage from that battle. When this card is Summoned: Toss a coin and apply this effect. The effect lasts while this card is face-up on the field. *Heads: Halve all Battle Damage you take. *Tails: Halve all Battle Damage your opponent takes.
Archfiend Soldier	BP01	ArchfiendSoldier1	Fiend	Dark	4	1900	1500	H		An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.
Asura Priest	BP01	AsuraPriest1	Fairy/Spirit	Light	4	1700	1200	H		Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. This card can attack all monsters your opponent controls once each.
Autonomous Action Unit	BP01	AutonomousActionUnit1	Equip Spell					D		Pay 1500 Life Points to target 1 monster in your opponent's Graveyard; Special Summon that target to your side of the field in face-up Attack Position, and equip it with this card. When this card leaves the field, destroy the equipped monster.
